"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"33","BRAF",0.151368913947155,0.0119451478809308,0.187873285871279,0.648812652300635,0.515525224431582,0.137178078264609,0.0122318314300731,0.189497825983086,0.661092264322232,0.538541695362816,0.945571182278082,0.196048779074044,0.951177790750278,0.212074711346183,0.268606909942425,0.758367346938775,0.0553741496598639,0.77527139433244,0.0513182010432821,0.000952380952380952,0
"34","BSG",0.182214683789678,0,0.18706081899685,0.630724497213472,0.513132247214513,0.168160891688878,0,0.194911558032469,0.636927550278653,0.514085804555548,0.914800534364778,0.260029348940613,NA,NA,0.32567160496187,0.766272965879265,0.276902887139108,0.815002669514148,0.25213561131874,0,2
"35","CASP3",0.178339384674183,0.0240779667494745,0.206191477164151,0.591391171412192,0.492523860055638,0.177049493598318,0.0238868717752723,0.237339957959106,0.561723676667304,0.508579409647792,0.95274982351015,0.204648663918798,0.89904143220507,0.297180459966195,0.400967235243129,0.674500175377061,0.202618964106162,0.141595814257685,0.0101373446697188,0.00105226236408278,0
"36","CAV1",0.163896054265788,0.0138530620043948,0.204834240947741,0.617416642782077,0.518083769660799,0.147176841501863,0.0138052928250693,0.212190694563867,0.6268271711092,0.501096561561379,0.911793747531305,0.26657041561369,0.822074662110265,0.356186482518132,0.352337153017597,0.850418279435635,0.341365963291297,0.880952380952381,0.321556579621096,0.00461980272193782,0
"37","CCND1",0.139403783680489,0.0206382572138353,0.243407223390025,0.596550735715651,0.510329066483796,0.119721001337665,0.0205427097267342,0.257261609019683,0.602474679915918,0.537025137501813,0.949863903473658,0.208205962828569,0.818733518947378,0.36883948955922,0.388366352111385,0.710597986974541,0.217998815867377,0.698954452589833,0.209349837759885,0.0034339846062759,0
"38","CD34",0.224265583950322,0.0010031048483401,0.10250776212085,0.672223549080487,0.515936007902741,0.217721518987342,0.0010031048483401,0.0976833054693098,0.683592070695008,0.50704761912721,0.971605870087211,0.160772513566496,0.99663073758645,0.0568849847306602,0.449191168733525,0.797435150102011,0.502768872048965,0.886926328502415,0.497282608695652,0.00014573010784028,0
"39","CD36",0.141444977467655,0,0.225081164897999,0.633473857634346,0.504450606707205,0.140136647768571,0,0.20705528904395,0.652808063187479,0.5115787110957,0.924286571987792,0.248338041273426,NA,NA,0.354364038755161,0.751057641459545,0.284108937070333,0.866434054431263,0.356454989532449,0,2
"40","CD44",0.132858780814065,0.00692719281482897,0.275988916491496,0.58422510987961,0.531784495040079,0.148433021211542,0.00687941907127843,0.253057519587235,0.591630040129945,0.511406836783628,0.941452566633436,0.225105283927623,0.974553089813869,0.155433979806258,0.338306724706866,0.662645064920143,0.185108583247156,0.780533458118858,0.263804398689752,0.000804320349304837,0
"41","CDH1",0.133285577841452,0.0183381088825215,0.268529130850048,0.579847182425979,0.521758931386229,0.11127029608405,0.0181470869149952,0.26341929321872,0.607163323782235,0.550683554797509,0.960271216264137,0.18542527666671,0.915811981341033,0.270524715514529,0.315741930827548,0.390088656512844,0.0717208456467379,0.510211524434719,0.0655239484561148,0.00227324391907252,0
"42","CFL1",0.242379359770664,0.0113234591495461,0.0711419015766842,0.675155279503106,0.49584732171135,0.19775441949355,0.0107978977544195,0.0897276636407071,0.701720019111323,0.527806930147657,0.886822509850551,0.245415046894589,0.950097792366464,0.214139044956371,0.308297172912558,0.626709810266216,0.110016178849831,0.606118853115489,0,0.00132372407707016,0
"43","CPT1C",0.286773615082635,0,0.1018756361169,0.611350748800465,0.468747615793967,0.20079484321233,0,0.100276256482334,0.698928900305336,0.487048602298894,0.794364214023948,0.298239521887654,NA,NA,0.361264405462966,0.439830402793366,0,0.584835801674179,0,0,2
