"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"20","NPY1R",0.372288580984233,0.00114667940754897,0.0995699952221691,0.526994744386049,0.52940472034611,0.236598184424271,0.0010989010989011,0.0967988533205924,0.665504061156235,0.524465682990774,0.872385350826182,0.25140578728324,0.994635531833845,0.0729311160195129,0.245120467582137,0.0205050505050505,0,0.271389801456935,0,0.000101010101010101,0
"24","ZBTB2",0.249068501003153,0.00802522212668386,0.0107480653482373,0.732158211521926,0.537190412202887,0.221219069456387,0.00764306869207987,0.00984045094105283,0.761297410910481,0.531421840086298,0.578575876658897,0.398651525166932,0.966535143786105,0.176776962961442,0.380777987639092,0.400214018191546,0,0.701821092655593,0,0.000178348492955235,0
"25","GNAI2",0.258110755411152,0.00152897892875914,0.00922165416407855,0.73113861149601,0.484688716493781,0.215824931912657,0.00152897892875914,0.00922165416407855,0.773424434994505,0.519327985173185,0.777987005864242,0.281544412945429,0.994406058613665,0.0741700526842709,0.35702133108617,0.803625377643505,0,0.873681990721215,0,0.00124400213257508,0
"26","PCGF2",0.351027233635929,0.0267080745341615,0.0478738652651696,0.57439082656474,0.508000431102102,0.31887243191591,0.0265647396082179,0.0344959388437649,0.620066889632107,0.5530959476445,0.684486305966671,0.335534001040414,0.888656568745561,0.310455796385055,0.206723564168157,0.0441176470588235,0,0.125125754527163,0.0518108651911469,0.00134710372698698,0
"27","EZR",0.143512325625836,0.00812153640359259,0.16668259124785,0.681683546722721,0.523019606533246,0.129944582457481,0.00812153640359259,0.162908465507357,0.699025415631569,0.541093714650188,0.915870867895831,0.252216786690987,0.959860637038335,0.188837935069339,0.411299328879236,0.743809095002251,0.294762119165541,0.804444444444444,0.248095238095238,0.00330181599879934,0
"30","SOX5",0.284717909520852,4.77714613290021e-05,0.10098886924951,0.614245449768308,0.516852359015544,0.282663736683705,4.77714613290021e-05,0.0981225815697702,0.619165910285196,0.480895199609386,0.8584742652852,0.25031493526952,0.999858336943478,0.0119022261764459,0.263806562737654,0.332136222910217,0.0476780185758514,0.316106372303061,0.0446562970396387,0,0
"32","RNF181",0.228384446355212,0.000143307537976498,0.0351581159835674,0.736314130123245,0.524063400942724,0.213241616509028,0.000143307537976498,0.0351581159835674,0.751456959969428,0.522446400330655,0.700580654828282,0.246942622272416,0.999575029131151,0.0206114518271568,0.297529787651644,0.69981884057971,0.0451086956521739,0.770709206227177,0.0374783778589275,0.000181159420289855,0
"33","AIP",0.238748208313426,0.00253225035833731,0.021213569039656,0.737505972288581,0.505870083200252,0.2303392259914,0.00248447204968944,0.0209268991877688,0.746249402771142,0.492072431883035,0.946880424458833,0.128849812957556,0.98686345861613,0.111184699324166,0.273521876565368,0.701856570804514,0,0.777631331199397,0,0.000728066982162359,0
"34","POLR3G",0.414572384137602,0,0.0095078834209269,0.575919732441472,0.490679599963285,0.225656951743908,0,0.00926899187768753,0.765074056378404,0.546081222703102,0.937121852903077,0.166307808502591,0.999575010641801,0.0206123485667025,0.37144358503528,0.00856241550247859,0,0.526540573520439,0,0,0
"36","TFDP1",0.30204003630978,0.0112273661076872,0.0164827289666046,0.670249868615929,0.514129681051306,0.27175003583202,0.011179590081697,0.0172949214084372,0.699775452677846,0.52283694530616,0.585616296881885,0.390159368231297,0.95344860652384,0.206518138986736,0.347063687062673,0.372210953346856,0.0201390901188061,0.338637810311903,0.017982176957352,0.00115908432338453,0
